N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
1071;PLERSPP;Pleurobranchaea spp.;Leue, 1813;;;;Emo;;15;2012 (15)
1072;PLESACA;Plesionika acanthonotus;(Smith, 1882);Z;102;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19, 20, 22, 25;
1073;PLESANT;Plesionika antigai;Zariquiey-Alvarez, 1955;Z;100;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19, 20, 22, 25;
1074;PLESEDW;Plesionika edwardsii;(Brandt, 1851);F;PANDL Plesio 2;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
1075;PLESENS;Plesionika ensis;(A. Milne-Edwards, 1881);;;?;B;m;15;2012 (15)
1076;PLESGIG;Plesionika gigliolii;(Senna, 1902);Z;106;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19, 20, 22, 25;
1077;PLESHET;Plesionika heterocarpus;(A. Costa, 1871);F;PANDL Plesio 8;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
1078;PLESMAR;Plesionika martia;(A. Milne-Edwards, 1883);F;PANDL Plesio 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
1079;PLESSPP;Plesionika spp.;Bate, 1888;Z;99;;B;m;7, 8, 9, 11, 15, 17, 19, 22, 23, 25;2011 (9, 19)
1080;PLEUPIL;Pleurobrachia pileus;(O.F. Müller, 1776);R;p. 177 Tav. 66;;Ect;0;1, 6;
1081;PLULDAE;Plumulariidae;Agassiz, 1862;;;;Ecn;;1, 6;2013 (1, 6)
1082;PLUMSPP;Plumularia spp.;Lamarck, 1816 ;;;;Ecn;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1083;PLUTBIF;Plutonaster bifrons;(Wyville Thomson, 1873);;;?;Eec;;7, 8;2013 (7, 8)
1084;PNEUMED;Pneumoderma mediterraneum;Van Beneden, 1838;;;;Emo;;19;2014 (19)
1085;POECCOM;Poecillastra compressa ;(Bowerbank, 1866);;;;Esp;;18;2013 (18)
1086;POLARIS;Polyacanthonotus rissoanus;(De Filippi & Vérany, 1857);C;89.02.01;;Ao;0;1, 5, 6, 11;
